OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,,"1 Porter St, Byron Bay, 2481",Chargefox,11,AC,22 kW,-28.63114219,153.5822593,Byron Shire Council,2481,Existing Destination Chargers,112,Richmond - Tweed,New South Wales,ev_00039,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Railway Pde, Sydney, 2217",Tesla,2,AC,6 kW,-33.96202107,151.1331081,Georges River Council,2217,Existing Destination Chargers,119,Sydney - Inner South West,New South Wales,ev_00040,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Reina Street, Sydney, 2026",Exploren,1,AC,22 kW,-33.8818579,151.2752853,Waverley Council,2026,Existing Destination Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00041,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Rider Blvd, Sydney, 2138",Tesla,3,AC,22 kW,-33.83552757,151.0841261,"Canada Bay Council, City of",2138,Existing Destination Chargers,120,Sydney - Inner West,New South Wales,ev_00042,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Salisbury Rd, Sydney, 2154",Tesla,1,AC,6 kW,-33.73073778,150.9734024,The Hills Shire Council,2154,Existing Destination Chargers,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales,ev_00043,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Seabeach Ave, Sydney, 2103",Chargefox,2,AC,6 kW,-33.67677782,151.3098839,Northern Beaches Council,2103,Existing Destination Chargers,122,Sydney - Northern Beaches,New South Wales,ev_00044,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Stanley St, Sydney, 2025",EVX,2,AC,22 kW,-33.88848053,151.2444605,Woollahra Municipal Council,2025,Existing Destination Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00045,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Sterling Cct, Sydney, 2050",Saascharge,1,AC,22 kW,-33.88474779,151.1766086,"Sydney, Council of the City of",2050,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00046,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Sublime Point Rd, Leura, 2780",Exploren,4,AC,22 kW,-33.72087992,150.3514194,Blue Mountains City Council,2780,Existing Destination Chargers,124,Sydney - Outer West and Blue Mountains,New South Wales,ev_00047,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1 Wharf St, Tweed Heads, 2485",Tesla,6,DC,250 kW,-28.17378983,153.5445165,Tweed Shire Council,2485,Existing Fast Chargers,112,Richmond - Tweed,New South Wales,ev_00048,"-28.173790,153.544516",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,,"1 Williamtown Drive, Williamtown, 2318",Chargefox,6,AC,22 kW,-32.80442447,151.8391211,Port Stephens Council,2318,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00049,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1/9 Railway Parade, Kogarah NSW 2217",Evie,4,DC,150 kW,-33.9624686,151.1324696,Georges River Council,2217,ARENA - Driving the Nation,119,Sydney - Inner South West,New South Wales,ev_00050,"-33.962469,151.132470",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
